_collected_at,airline,arrAirport,arrAirportCode,arrAirportEng,arrvAirportCode,codeshare,depAirport,depAirportCode,depAirportEng,estimateddatetime,fgenTime,fid,flightid,io,line,masterflightid,rmkKor,scheduledatetime,searchday
2026-09-22T23:52:41+09:00,베트남항공,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609210713,20260921235905,0000000000000013171981,VN434,I,국제,,도착,202609210605,20260921
2026-09-22T23:52:41+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609210602,20260921235906,0000000000000013143837,ZE988,I,국제,,도착,202609210605,20260921
2026-09-22T23:52:41+09:00,제주항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609210645,20260921235904,0000000000000012710333,7C6154,I,국제,,도착,202609210610,20260921
2026-09-22T23:52:41+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609210611,20260921235906,0000000000000013143670,ZE984,I,국제,,도착,202609210610,20260921
2026-09-22T23:52:41+09:00,진에어,부산/김해,PUS,GIMHAE,,N,괌,GUM,GUAM,202609210606,20260921235906,0000000000000012724777,LJ922,I,국제,,도착,202609210615,20260921
2026-09-22T23:52:41+09:00,이스타항공,부산/김해,PUS,GIMHAE,,N,치앙마이,CNX,CHIANG MAI,202609210624,20260921235905,0000000000000012744482,ZE918,I,국제,,도착,202609210615,20260921
2026-09-22T23:52:41+09:00,진에어,부산/김해,PUS,GIMHAE,,N,타이페이/타오위안,TPE,TAOYUAN,202609210653,20260921235903,0000000000000012722249,LJ752,I,국제,,도착,202609210615,20260921
2026-09-22T23:52:41+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,괌,GUM,GUAM,202609210608,20260921235903,0000000000000013164240,BX613,I,국제,,도착,202609210620,20260921
2026-09-22T23:52:41+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,방콕/수완나품,BKK,BANGKOK,202609210630,20260921235905,0000000000000013176530,BX726,I,국제,,도착,202609210620,20260921
2026-09-22T23:52:41+09:00,에어부산,부산/김해,PUS,GIMHAE,,N,나트랑,CXR,NHA TRANG,202609210627,20260921235903,0000000000000013176635,BX782,I,국제,,도착,202609210620,20260921
2026-09-22T23:52:41+09:00,트리니티항공,부산/김해,PUS,GIMHAE,,N,홍콩,HKG,HONG KONG,202609210622,20260921235906,0000000000000013115537,TW640,I,국제,,도착,202609210620,20260921
